example_id                                                      | status | run_time        |
./spec/reactive_view/shapes_accessor_spec.rb[1:2:2]             | passed | 0.00023 seconds |
./spec/reactive_view/shapes_accessor_spec.rb[1:3:1]             | passed | 0.00009 seconds |
./spec/reactive_view/shapes_accessor_spec.rb[1:4:1]             | passed | 0.00047 seconds |
./spec/reactive_view/shapes_accessor_spec.rb[1:5:1]             | passed | 0.00004 seconds |
./spec/reactive_view/types/dsl_spec.rb[1:1:1]                   | passed | 0.00057 seconds |
./spec/reactive_view/types/dsl_spec.rb[1:1:2]                   | passed | 0.00047 seconds |
./spec/reactive_view/types/dsl_spec.rb[1:2:1]                   | passed | 0.00017 seconds |
./spec/reactive_view/types/dsl_spec.rb[1:2:2]                   | passed | 0.00007 seconds |
./spec/reactive_view/types/dsl_spec.rb[1:2:3]                   | passed | 0.00062 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:1:1]                   | passed | 0.00006 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:1:2]                   | passed | 0.00003 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:2:1]                   | passed | 0.00009 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:2:2]                   | passed | 0.00006 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:3:1]                   | passed | 0.00006 seconds |
./spec/reactive_view/types/dsl_spec.rb[2:3:2]                   | passed | 0.00005 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:1:1]                   | passed | 0.00005 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:1:2]                   | passed | 0.00038 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:1:3]                   | passed | 0.00005 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:1:4]                   | passed | 0.00005 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:2:1]                   | passed | 0.00005 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:2:2]                   | passed | 0.00007 seconds |
./spec/reactive_view/types/dsl_spec.rb[3:2:3]                   | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:1]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:2]  | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:3]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:4]  | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:5]  | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:6]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:7]  | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:1:8]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:1]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:2]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:3]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:4]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:5]  | passed | 0.00007 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:6]  | passed | 0.0005 seconds  |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:7]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:8]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:2:9]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:1]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:2]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:3]  | passed | 0.00034 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:4]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:5]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:6]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:7]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:3:8]  | passed | 0.00004 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:1]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:2]  | passed | 0.00005 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:3]  | passed | 0.00006 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:4]  | passed | 0.00017 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:5]  | passed | 0.00007 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:6]  | passed | 0.00012 seconds |
./spec/reactive_view/types/typescript_generator_spec.rb[1:4:7]  | passed | 0.00005 seconds |
./spec/reactive_view/types/validator_spec.rb[1:1:1:1]           | passed | 0.00005 seconds |
./spec/reactive_view/types/validator_spec.rb[1:1:2:1]           | passed | 0.00011 seconds |
./spec/reactive_view/types/validator_spec.rb[1:1:2:2]           | passed | 0.00076 seconds |
./spec/reactive_view/types/validator_spec.rb[1:1:3:1]           | passed | 0.00016 seconds |
./spec/reactive_view/types/validator_spec.rb[1:2:1]             | passed | 0.00032 seconds |
./spec/reactive_view/types/validator_spec.rb[1:2:2]             | passed | 0.00018 seconds |
./spec/reactive_view/types/validator_spec.rb[2:1:1]             | passed | 0.00004 seconds |
./spec/reactive_view/types/validator_spec.rb[2:1:2]             | passed | 0.00026 seconds |
./spec/reactive_view/types/validator_spec.rb[2:2:1]             | passed | 0.00003 seconds |
./spec/reactive_view/types/validator_spec.rb[2:2:2]             | passed | 0.00003 seconds |
